id;damage_reason_id;damage_serverity_id;damage_date_monitor;description;farmer_comment;estimated_yield;created_at;added_by
1;in reborn;rear foolhardy vastly;guzzle before circumnavigate;cosset knowingly;humble deduce;velvety;2025-05-02T04:54:04;heartache electronics academics
2;indeed clearly;resolve neatly;beneficial knotty;who quart;overconfidently crossly joyously;elderly above rewrite;2025-05-02T11:29:52;snoop gah
3;boohoo hype;peninsula founder weary;filthy;below;pro ditch;entwine boo among;2025-05-02T04:50:48;sprinkles recovery
4;faint;urgently an;unlined via gah;as grouchy;marketplace unpleasant;pupil highly;2025-05-02T12:30:11;fireplace against
5;for;ick nudge;signature;whenever;nor;er upon judicious;2025-05-02T01:44:20;misfire zowie
6;outside;bustling a modulo;whoa geez kindly;lest where a;bungalow availability;satirise interestingly;2025-05-02T11:14:29;reluctantly unless
7;schnitzel;sick settler;vastly between;if when;yogurt;quicker colorfully;2025-05-02T05:11:14;bright woot
8;astride out;cycle doubtfully premise;video;but;yearningly trash foodstuffs;concerned dull curiously;2025-05-02T00:46:56;inveigle
9;boo cap replacement;while rosemary popularize;incidentally abnormally key;than although via;during fooey lustrous;because bleakly;2025-05-02T10:33:55;exalt unlike
10;cleaner mmm;speedy;t-shirt gadzooks;progress onto mmm;shudder;cannibalise sustenance brand;2025-05-02T16:46:58;consequently unbearably
